benchmark_admissible,candidate_id,chronology_passed,commercial_use_eligible,cpu_execution_passed,deterministic_replay_passed,gate,maximum_single_fold_mae_relative_degradation,mean_mae,mean_peak_mae,outer_fold_count,positive_outer_folds,promotion_eligible_by_license,quantile_crossing_rate,quantile_order_passed,relative_mae_improvement_vs_v1,relative_peak_mae_change_vs_v1,resource_limits_passed,schema_version,status,subgate,validation_origin_count
True,chronos_2_zero_shot,True,True,True,False,6D,0.21047123731077874,4.743580802977936,21.29347326376154,4,0,True,0.00028555111364934324,False,-0.18599801157854728,0.15691451243821594,True,1.0.0,success,6D2,7004
True,moirai_2_research_zero_shot,True,False,True,True,6D,0.3318657811604975,5.18453349727416,21.603819907619844,4,0,False,0.018132495716733296,False,-0.296245742218492,0.17377623019175914,True,1.0.0,success,6D2,7004
True,timesfm_2_5_zero_shot,True,True,True,True,6D,0.37905548496283675,5.374106581615489,21.46784925128349,4,0,True,0.0,True,-0.34364312204945907,0.16638868830825668,True,1.0.0,success,6D2,7004
