algorithm_id,fold_id,selected_configuration_id,selected_inner_mae,validation_rows,peak_rows,peak_threshold_kwh,mae,peak_mae,reference_mae,reference_peak_mae,relative_mae_improvement,relative_peak_mae_change,model_size_bytes,p95_inference_latency_ms_per_1000_rows,peak_memory_mb,wall_clock_seconds,portability_failure_count,maximum_prediction_origin,maximum_target_dependency
catboost_mae,1,cat_02,4.91293822758487,1751,184,83.7,4.960677965632071,19.628421646010512,4.708802095707962,17.862369874940665,-0.05349043446818285,0.09886995865803129,656993,7.8996011999890925,477.16015625,3.09735880300002,0,22774,22775
catboost_mae,2,cat_03,4.900608777495761,1751,120,83.77,4.335987227075383,18.4527317899692,4.2302027975483005,18.18933623088144,-0.02500694046828954,0.01448076805796637,1065392,8.692512899995108,501.109375,4.020511950000014,0,24525,24526
catboost_mae,3,cat_03,4.815265471489438,1751,25,83.02,2.35356286749833,22.292530796378358,2.2717092222885205,20.320255374470992,-0.03603174403075688,0.09705957851224647,1065376,8.035113700026386,511.5625,4.076327949000017,0,26276,26277
catboost_mae,4,cat_03,4.535549431025554,1751,181,80.85199999999998,5.110717844950904,19.20484387722584,4.787898889427443,17.249634704493992,-0.06742392915529281,0.11334785960554074,1065320,8.609437700005174,511.56640625,4.335131603999969,0,28027,28028
lightgbm_l1,1,lgbm_03,4.768372763135603,1751,184,83.7,4.680236522479546,17.77610536921754,4.708802095707962,17.862369874940665,0.006066420428765428,-0.004829398692731529,1433687,23.296570999997357,397.1015625,2.0455004819999942,0,22774,22775
lightgbm_l1,2,lgbm_03,4.752031847336699,1751,120,83.77,4.1924310268427085,18.173753798176527,4.2302027975483005,18.18933623088144,0.008929068537206633,-0.0008566795680239493,1443374,24.548998300002722,398.0234375,2.1691975820000096,0,24525,24526
lightgbm_l1,3,lgbm_03,4.63211982801083,1751,25,83.02,2.253431795547714,21.432133319675017,2.2717092222885205,20.320255374470992,0.008045671761808443,0.05471771514254265,1444104,23.050728300012224,401.7421875,2.2333057360000055,0,26276,26277
lightgbm_l1,4,lgbm_03,4.389867846378773,1751,181,80.85199999999998,4.748267797975354,17.21767385009605,4.787898889427443,17.249634704493992,0.008277345108436215,-0.001852842390315518,1448604,24.514655400002994,407.2109375,2.313464207999999,0,28027,28028
xgboost_hist,1,xgb_03,4.707991069817293,1751,184,83.7,4.636588529187022,18.097892212245775,4.708802095707962,17.862369874940665,0.015335867818008777,0.013185391353670644,997676,10.172041299998114,378.25390625,1.737274006000007,0,22774,22775
xgboost_hist,2,xgb_03,4.71508703045835,1751,120,83.77,4.204224091235193,18.36036213429769,4.2302027975483005,18.18933623088144,0.006141243707787324,0.00940253680757666,998832,10.615108300005716,386.69921875,1.8908754139999928,0,24525,24526
xgboost_hist,3,xgb_03,4.670201839206918,1751,25,83.02,2.298639225532231,20.95812531738281,2.2717092222885205,20.320255374470992,-0.011854511563139873,0.0313908428391699,1012982,10.359117499999115,392.13671875,2.0375391580000155,0,26276,26277
xgboost_hist,4,xgb_03,4.4078103908079695,1751,181,80.85199999999998,4.789437783332228,17.537056570316548,4.787898889427443,17.249634704493992,-0.0003214132003044297,0.016662490003204185,1026051,10.311689200020169,397.1015625,2.1120387030000245,0,28027,28028
