algorithm_id,outer_fold_id,configuration_id,inner_fold_id,inner_train_rows,inner_validation_rows,mae
lightgbm_l1,4,lgbm_01,3,19701,6568,3.6930717769721677
lightgbm_l1,4,lgbm_02,1,6565,6568,5.199674338352389
lightgbm_l1,4,lgbm_02,2,13133,6568,4.545491334427518
lightgbm_l1,4,lgbm_02,3,19701,6568,3.673927117706515
lightgbm_l1,4,lgbm_03,1,6565,6568,5.10206721374409
lightgbm_l1,4,lgbm_03,2,13133,6568,4.449551132425146
lightgbm_l1,4,lgbm_03,3,19701,6568,3.6179851929670828
lightgbm_l1,4,lgbm_04,1,6565,6568,5.40732715346116
lightgbm_l1,4,lgbm_04,2,13133,6568,4.718937093787053
lightgbm_l1,4,lgbm_04,3,19701,6568,3.726085012799865
xgboost_hist,1,xgb_01,1,5251,5255,5.5821876386466425
xgboost_hist,1,xgb_01,2,10506,5255,5.190023365227639
xgboost_hist,1,xgb_01,3,15761,5255,4.306666417235312
xgboost_hist,1,xgb_02,1,5251,5255,5.452367852329868
xgboost_hist,1,xgb_02,2,10506,5255,5.018980867534677
xgboost_hist,1,xgb_02,3,15761,5255,4.02869192732458
xgboost_hist,1,xgb_03,1,5251,5255,5.373651016489423
xgboost_hist,1,xgb_03,2,10506,5255,4.861928413262262
xgboost_hist,1,xgb_03,3,15761,5255,3.888393779700195
xgboost_hist,1,xgb_04,1,5251,5255,5.571593074422922
xgboost_hist,1,xgb_04,2,10506,5255,5.258646775137686
xgboost_hist,1,xgb_04,3,15761,5255,4.356226447030093
xgboost_hist,2,xgb_01,1,5691,5692,5.69424648977549
xgboost_hist,2,xgb_01,2,11383,5692,4.814017506212059
xgboost_hist,2,xgb_01,3,17075,5692,4.5899078019253405
xgboost_hist,2,xgb_02,1,5691,5692,5.539428607149184
xgboost_hist,2,xgb_02,2,11383,5692,4.648602831867993
xgboost_hist,2,xgb_02,3,17075,5692,4.335043821271171
xgboost_hist,2,xgb_03,1,5691,5692,5.483804795765492
xgboost_hist,2,xgb_03,2,11383,5692,4.501030363780214
xgboost_hist,2,xgb_03,3,17075,5692,4.160425931829344
xgboost_hist,2,xgb_04,1,5691,5692,5.672408360069434
xgboost_hist,2,xgb_04,2,11383,5692,4.8802233120931
xgboost_hist,2,xgb_04,3,17075,5692,4.666173389179139
xgboost_hist,3,xgb_01,1,6128,6130,5.451072257948932
xgboost_hist,3,xgb_01,2,12258,6130,4.921613664255251
xgboost_hist,3,xgb_01,3,18388,6130,4.527524488332416
xgboost_hist,3,xgb_02,1,6128,6130,5.431922289142017
xgboost_hist,3,xgb_02,2,12258,6130,4.749436582042576
xgboost_hist,3,xgb_02,3,18388,6130,4.257579918939177
xgboost_hist,3,xgb_03,1,6128,6130,5.370160848872697
xgboost_hist,3,xgb_03,2,12258,6130,4.547143907901708
xgboost_hist,3,xgb_03,3,18388,6130,4.093300760846348
xgboost_hist,3,xgb_04,1,6128,6130,5.537239259464706
xgboost_hist,3,xgb_04,2,12258,6130,4.981281216498495
xgboost_hist,3,xgb_04,3,18388,6130,4.647271604832
xgboost_hist,4,xgb_01,1,6565,6568,5.363745132922836
xgboost_hist,4,xgb_01,2,13133,6568,4.773674414143348
xgboost_hist,4,xgb_01,3,19701,6568,3.9457627999477647
xgboost_hist,4,xgb_02,1,6565,6568,5.217372453728198
xgboost_hist,4,xgb_02,2,13133,6568,4.699559038266195
xgboost_hist,4,xgb_02,3,19701,6568,3.802413107779662
xgboost_hist,4,xgb_03,1,6565,6568,5.174743730851997
xgboost_hist,4,xgb_03,2,13133,6568,4.3877790653727375
xgboost_hist,4,xgb_03,3,19701,6568,3.660908376199174
xgboost_hist,4,xgb_04,1,6565,6568,5.382451325827772
xgboost_hist,4,xgb_04,2,13133,6568,4.918818005413433
xgboost_hist,4,xgb_04,3,19701,6568,4.033296073091451
