algorithm_id,mean_mae,mean_peak_mae,relative_mae_improvement_vs_v1,relative_peak_mae_change_vs_v1,positive_outer_folds,maximum_single_fold_mae_relative_degradation,across_seed_mae_standard_deviation,across_seed_peak_mae_standard_deviation,outer_fold_mae_dispersion,mean_model_size_bytes,max_p95_inference_latency_ms_per_1000_rows,max_peak_memory_mb,total_wall_clock_seconds,chronology_passed,resource_limits_passed,cpu_portability_passed,pareto_eligible,promotion_eligible
tide_compact,4.393078141494046,20.898733018143528,-0.0983647495264038,0.13546753133081196,0,0.12701687805958295,0.023005427027922482,0.752634234082254,1.1227690027507555,1165366.0,7.617219499957173,1857.67578125,584.2175282930003,True,True,True,True,False
patchtst_compact,4.708367398815929,21.53471821032347,-0.17719389733412783,0.17002180481239448,0,0.25716654865490657,0.12441986129421662,0.5709823150224583,1.0923180336561258,455170.0,60.28145210002549,1857.70703125,3579.967144598,True,True,True,True,False
nhits_compact,5.054859103143454,23.286026650182116,-0.26382433316499365,0.2651736912487025,0,0.3996376035628263,0.09394178430003859,1.002459581234927,1.1005014211520647,2583763.0,38.00679090018093,1812.5703125,1224.9204749369994,True,True,True,True,False
