algorithm_id,outer_fold_id,inner_fold_id,configuration_id,selection_seed,training_rows,validation_rows,mae,wall_clock_seconds,maximum_prediction_origin,maximum_target_dependency
residual_mlp,2,1,mlp_01,20260725,5685,5689,9.06333084710456,0.09584528099998124,11392,11393
residual_mlp,2,1,mlp_02,20260725,5685,5689,10.266148770400022,0.18181108200002427,11392,11393
residual_mlp,2,2,mlp_01,20260725,11374,5689,6.877768401665403,0.19602027199999839,17081,17082
residual_mlp,2,2,mlp_02,20260725,11374,5689,7.128921074394866,0.37508277200001316,17081,17082
residual_mlp,2,3,mlp_01,20260725,17063,5689,6.665439902605533,0.31354209999997806,22770,22771
residual_mlp,2,3,mlp_02,20260725,17063,5689,6.7676338338015745,0.5898518030000162,22770,22771
residual_mlp,3,1,mlp_01,20260725,6125,6126,9.068808388300729,0.0997726359999831,12269,12270
residual_mlp,3,1,mlp_02,20260725,6125,6126,10.524824375536,0.19734052699999438,12269,12270
residual_mlp,3,2,mlp_01,20260725,12251,6126,6.913776388142308,0.20959538400001065,18395,18396
residual_mlp,3,2,mlp_02,20260725,12251,6126,7.095885445127034,0.39916352899999197,18395,18396
residual_mlp,3,3,mlp_01,20260725,18377,6126,6.479907772991819,0.3229436279999902,24521,24522
residual_mlp,3,3,mlp_02,20260725,18377,6126,6.428648318717994,0.6083415610000031,24521,24522
residual_mlp,4,1,mlp_01,20260725,6562,6564,8.578862679910799,0.11142932699999619,13144,13145
residual_mlp,4,1,mlp_02,20260725,6562,6564,9.425614571144756,0.2157463959999859,13144,13145
residual_mlp,4,2,mlp_01,20260725,13126,6564,6.826498829500824,0.22984316299999819,19708,19709
residual_mlp,4,2,mlp_02,20260725,13126,6564,7.0343669012364,0.433309888999986,19708,19709
residual_mlp,4,3,mlp_01,20260725,19690,6564,5.724935652917018,0.33681218800001034,26272,26273
residual_mlp,4,3,mlp_02,20260725,19690,6564,5.703755987919775,0.6443012120000162,26272,26273
