algorithm_id,fold_id,seed,selected_configuration_id,selected_inner_mae,training_rows,validation_rows,peak_rows,peak_threshold_kwh,mae,peak_mae,reference_mae,reference_peak_mae,relative_mae_improvement,relative_peak_mae_change,target_training_scale,model_size_bytes,p95_inference_latency_ms_per_1000_rows,peak_memory_mb,wall_clock_seconds,portability_failure_count,maximum_prediction_origin,maximum_target_dependency
causal_tcn,1,20260721,tcn_02,12.972651019324111,21005,1751,184,83.7,9.241554206575396,28.62209836727564,4.708802095707962,17.862369874940665,-0.9626125750748802,0.6023684744894868,34.665617295392536,11597,1.6263188000010587,612.8984375,1.5149543569999935,1,22774,22775
causal_tcn,1,20260722,tcn_02,12.972651019324111,21005,1751,184,83.7,10.165366166283768,38.76137524747558,4.708802095707962,17.862369874940665,-1.158800892386075,1.1700018261213132,34.665617295392536,11597,1.5512948999997889,612.8984375,1.523600596999998,1,22774,22775
causal_tcn,1,20260723,tcn_02,12.972651019324111,21005,1751,184,83.7,9.021039703241648,26.80941853190828,4.708802095707962,17.862369874940665,-0.9157822987430835,0.5008881083309968,34.665617295392536,11597,1.5543987000000925,612.8984375,1.5221808780000003,1,22774,22775
causal_tcn,1,20260724,tcn_02,12.972651019324111,21005,1751,184,83.7,9.223552676178342,30.45996177421648,4.708802095707962,17.862369874940665,-0.9587896217990433,0.7052587079696031,34.665617295392536,11597,1.7674260999982039,612.8984375,1.5216672450000033,1,22774,22775
causal_tcn,1,20260725,tcn_02,12.972651019324111,21005,1751,184,83.7,9.789717995675568,35.170077567850164,4.708802095707962,17.862369874940665,-1.0790251526176529,0.9689480071281411,34.665617295392536,11597,1.5112304000027166,612.8984375,1.5267495529999877,1,22774,22775
causal_tcn,2,20260721,tcn_02,12.660319733640472,22756,1751,120,83.77,7.730641967806589,28.775297040065098,4.2302027975483005,18.18933623088144,-0.8274873186427465,0.5819871970485131,34.65378873171202,11597,1.5839953000067908,639.0625,1.5907317449999994,1,24525,24526
causal_tcn,2,20260722,tcn_02,12.660319733640472,22756,1751,120,83.77,8.24319490739031,37.13393111409335,4.2302027975483005,18.18933623088144,-0.9486524173658577,1.0415220568108587,34.65378873171202,11597,1.568352200007439,639.0625,1.6102424460000009,1,24525,24526
causal_tcn,2,20260723,tcn_02,12.660319733640472,22756,1751,120,83.77,7.653653145550976,26.17614973608742,4.2302027975483005,18.18933623088144,-0.8092875239898203,0.4390931809620491,34.65378873171202,11597,1.5236272000038298,639.0625,1.6143870700000207,1,24525,24526
causal_tcn,2,20260724,tcn_02,12.660319733640472,22756,1751,120,83.77,7.6681295177938615,29.01967776710394,4.2302027975483005,18.18933623088144,-0.8127096701458569,0.5954225816022352,34.65378873171202,11597,1.58110630001147,639.0625,1.6030196009999997,1,24525,24526
causal_tcn,2,20260725,tcn_02,12.660319733640472,22756,1751,120,83.77,8.181248219852067,34.75835141548581,4.2302027975483005,18.18933623088144,-0.9340085124509101,0.91091917672476,34.65378873171202,11597,1.58939619999785,639.0625,1.6027961300000015,1,24525,24526
causal_tcn,3,20260721,tcn_02,12.567406763916493,24507,1751,25,83.02,5.3147879336057695,28.800212175088987,2.2717092222885205,20.320255374470992,-1.3395546760388863,0.41731546402077435,34.39811106428327,11597,1.5670713000019987,657.2421875,1.7426903260000017,1,26276,26277
causal_tcn,3,20260722,tcn_02,12.567406763916493,24507,1751,25,83.02,5.518328697447776,39.56929720022709,2.2717092222885205,20.320255374470992,-1.4291527468857175,0.9472834603220246,34.39811106428327,11597,1.6030687000181842,657.2421875,1.7465446150000048,1,26276,26277
causal_tcn,3,20260723,tcn_02,12.567406763916493,24507,1751,25,83.02,5.300992145907205,27.033622566675177,2.2717092222885205,20.320255374470992,-1.3334818091582092,0.3303780916374903,34.39811106428327,11597,1.5633151999992378,657.2421875,1.7324878199999887,1,26276,26277
causal_tcn,3,20260724,tcn_02,12.567406763916493,24507,1751,25,83.02,4.488191359588471,29.88399332812324,2.2717092222885205,20.320255374470992,-0.975689192768723,0.47065048039049184,34.39811106428327,11597,1.5979931000146053,657.2421875,1.7478546199999982,1,26276,26277
causal_tcn,3,20260725,tcn_02,12.567406763916493,24507,1751,25,83.02,5.289304420247425,33.40230222201248,2.2717092222885205,20.320255374470992,-1.3283369052483653,0.6437934271228154,34.39811106428327,11597,1.5624137999992627,657.2421875,1.7284738090000076,1,26276,26277
causal_tcn,4,20260721,tcn_02,11.453377348126557,26258,1751,181,80.85199999999998,8.7049172215865,26.244987176332316,4.787898889427443,17.249634704493992,-0.8181079890405687,0.5214807516761379,33.90161506794576,11597,1.5516437999934851,659.24609375,1.842883678999982,1,28027,28028
causal_tcn,4,20260722,tcn_02,11.453377348126557,26258,1751,181,80.85199999999998,9.070364291316311,33.81198697593558,4.787898889427443,17.249634704493992,-0.8944352211249356,0.9601566963691499,33.90161506794576,11597,1.5573244999984581,659.24609375,1.8411093310000126,1,28027,28028
causal_tcn,4,20260723,tcn_02,11.453377348126557,26258,1751,181,80.85199999999998,8.80452639486694,25.45225996423852,4.787898889427443,17.249634704493992,-0.8389123492789177,0.4755245777817849,33.90161506794576,11597,1.5697683000126972,659.24609375,1.8538408059999938,1,28027,28028
causal_tcn,4,20260724,tcn_02,11.453377348126557,26258,1751,181,80.85199999999998,8.482537949536166,26.259471757711445,4.787898889427443,17.249634704493992,-0.7716618803849769,0.5223204553352163,33.90161506794576,11597,1.5441082000080542,659.24609375,1.8381151439999996,1,28027,28028
causal_tcn,4,20260725,tcn_02,11.453377348126557,26258,1751,181,80.85199999999998,9.025958166830868,31.979021108027606,4.787898889427443,17.249634704493992,-0.8851605631776887,0.8538955552314516,33.90161506794576,11597,1.602096099998107,659.24609375,1.8654113380000013,1,28027,28028
gru_sequence,1,20260721,gru_02,10.051690108124864,21005,1751,184,83.7,7.976598107012006,24.77375752069339,4.708802095707962,17.862369874940665,-0.6939760781797595,0.3869244503468039,34.665617295392536,28109,6.062425100000723,633.8828125,2.4939008669999936,1,22774,22775
gru_sequence,1,20260722,gru_02,10.051690108124864,21005,1751,184,83.7,7.935217796011754,23.50365083907126,4.708802095707962,17.862369874940665,-0.6851882144812682,0.31581928958065153,34.665617295392536,28109,6.427035800000169,634.2578125,2.5424236469999926,1,22774,22775
gru_sequence,1,20260723,gru_02,10.051690108124864,21005,1751,184,83.7,7.786605783814722,26.14958127181938,4.708802095707962,17.862369874940665,-0.6536277434365219,0.4639480346056961,34.665617295392536,28109,6.728152599995951,634.2578125,2.5520979079999933,1,22774,22775
gru_sequence,1,20260724,gru_02,10.051690108124864,21005,1751,184,83.7,7.790883747039012,24.022438944916164,4.708802095707962,17.862369874940665,-0.6545362469449172,0.34486292205926916,34.665617295392536,28109,6.148682599999233,634.8828125,2.5204270730000076,1,22774,22775
gru_sequence,1,20260725,gru_02,10.051690108124864,21005,1751,184,83.7,7.745564390177531,25.054960758258353,4.708802095707962,17.862369874940665,-0.6449118550209523,0.4026672235361255,34.665617295392536,28109,6.102190700013921,634.8828125,2.454376802000013,1,22774,22775
gru_sequence,2,20260721,gru_02,9.778164607347955,22756,1751,120,83.77,7.074763688819077,24.858670319376326,4.2302027975483005,18.18933623088144,-0.6724407853258003,0.36666176290544583,34.65378873171202,28109,8.059952300001783,643.4921875,2.786612254000005,1,24525,24526
gru_sequence,2,20260722,gru_02,9.778164607347955,22756,1751,120,83.77,6.868363254982737,23.90155469167976,4.2302027975483005,18.18933623088144,-0.6236486957465575,0.31404216120323536,34.65378873171202,28109,5.9624127999995835,643.4921875,2.782853366999973,1,24525,24526
gru_sequence,2,20260723,gru_02,9.778164607347955,22756,1751,120,83.77,6.66986590316687,25.877364358014542,4.2302027975483005,18.18933623088144,-0.5767248575015187,0.42266677736599,34.65378873171202,28109,6.07011639999655,643.4921875,2.795401551999987,1,24525,24526
gru_sequence,2,20260724,gru_02,9.778164607347955,22756,1751,120,83.77,6.811202424381656,24.469732704811904,4.2302027975483005,18.18933623088144,-0.6101361448508393,0.34527903570597296,34.65378873171202,28109,6.010607599992568,643.4921875,2.8245236079999927,1,24525,24526
gru_sequence,2,20260725,gru_02,9.778164607347955,22756,1751,120,83.77,6.68753697465833,24.121732273267792,4.2302027975483005,18.18933623088144,-0.5809022154999819,0.32614692295997383,34.65378873171202,28109,6.00825369999427,643.4921875,2.789471548000023,1,24525,24526
gru_sequence,3,20260721,gru_02,9.700517649359918,24507,1751,25,83.02,4.0616745799173,25.508996666161185,2.2717092222885205,20.320255374470992,-0.787937707901528,0.2553482323951981,34.39811106428327,28109,5.9637207000093895,657.2421875,2.9026706679999847,1,26276,26277
gru_sequence,3,20260722,gru_02,9.700517649359918,24507,1751,25,83.02,4.017576098769071,25.44073790481585,2.2717092222885205,20.320255374470992,-0.7685256807302847,0.25198908360068595,34.39811106428327,28109,6.0939500999865,657.2421875,2.8856443400000273,1,26276,26277
gru_sequence,3,20260723,gru_02,9.700517649359918,24507,1751,25,83.02,3.834899347923853,25.43825577123547,2.2717092222885205,20.320255374470992,-0.6881118896284508,0.25186693289270323,34.39811106428327,28109,5.928625399991461,657.2421875,2.878834627999993,1,26276,26277
gru_sequence,3,20260724,gru_02,9.700517649359918,24507,1751,25,83.02,3.811689576261014,24.738301420170046,2.2717092222885205,20.320255374470992,-0.6778950135269146,0.21742079340447606,34.39811106428327,28109,5.912674899977333,657.2421875,2.870441396000018,1,26276,26277
gru_sequence,3,20260725,gru_02,9.700517649359918,24507,1751,25,83.02,3.694250056961693,26.59718200010453,2.2717092222885205,20.320255374470992,-0.626198467971224,0.30889998722749556,34.39811106428327,28109,6.009411600012982,657.2421875,2.886320347999998,1,26276,26277
gru_sequence,4,20260721,gru_02,8.748660143534634,26258,1751,181,80.85199999999998,7.750199221833172,23.543844076588567,4.787898889427443,17.249634704493992,-0.6187056996853109,0.3648894298297669,33.90161506794576,28109,6.412672500002259,662.65234375,3.1131547820000094,1,28027,28028
gru_sequence,4,20260722,gru_02,8.748660143534634,26258,1751,181,80.85199999999998,7.676533880127525,23.91090217882777,4.787898889427443,17.249634704493992,-0.6033199650641572,0.38616861101402566,33.90161506794576,28109,6.533508000012489,662.65234375,3.06112300800001,1,28027,28028
gru_sequence,4,20260723,gru_02,8.748660143534634,26258,1751,181,80.85199999999998,7.587358911680497,25.21117084650295,4.787898889427443,17.249634704493992,-0.5846948916224557,0.46154810106991784,33.90161506794576,28109,6.227619900022319,662.65234375,3.112056960999979,1,28027,28028
gru_sequence,4,20260724,gru_02,8.748660143534634,26258,1751,181,80.85199999999998,7.7665363598255635,24.20034591488558,4.787898889427443,17.249634704493992,-0.6221178724086043,0.40294831336809356,33.90161506794576,28109,5.896386000009102,662.65234375,3.056948456000015,1,28027,28028
gru_sequence,4,20260725,gru_02,8.748660143534634,26258,1751,181,80.85199999999998,7.629883788995825,24.768118111538207,4.787898889427443,17.249634704493992,-0.5935766325065897,0.43586334063558163,33.90161506794576,28109,5.986807899995483,662.65234375,3.0783921990000067,1,28027,28028
residual_mlp,1,20260721,mlp_01,7.510237859700875,21005,1751,184,83.7,7.284907358510025,23.53474541336474,4.708802095707962,17.862369874940665,-0.5470829332900109,0.31756007619022153,34.665617295392536,31053,0.41563819999481666,597.30078125,0.3756188329999901,1,22774,22775
residual_mlp,1,20260722,mlp_01,7.510237859700875,21005,1751,184,83.7,6.987651547921107,23.84435924468208,4.708802095707962,17.862369874940665,-0.48395524082235264,0.3348933770615523,34.665617295392536,31053,0.4154922000012107,597.30078125,0.37238491000000806,1,22774,22775
residual_mlp,1,20260723,mlp_01,7.510237859700875,21005,1751,184,83.7,6.985009301442788,23.065348299832902,4.708802095707962,17.862369874940665,-0.4833941115957223,0.2912815299044702,34.665617295392536,31053,0.400521800006004,597.30078125,0.3756294890000049,1,22774,22775
residual_mlp,1,20260724,mlp_01,7.510237859700875,21005,1751,184,83.7,7.21966265721872,24.013860042991546,4.708802095707962,17.862369874940665,-0.5332270310955283,0.344382644135081,34.665617295392536,31053,0.40119699999792147,597.30078125,0.37341775299999824,1,22774,22775
residual_mlp,1,20260725,mlp_01,7.510237859700875,21005,1751,184,83.7,7.17997291026095,23.280050179379394,4.708802095707962,17.862369874940665,-0.5247981895024729,0.30330131681122885,34.665617295392536,31053,0.41204589999495056,597.30078125,0.3726433639999982,1,22774,22775
residual_mlp,2,20260721,mlp_01,7.535513050458498,22756,1751,120,83.77,6.300747913509573,24.302015525181616,4.2302027975483005,18.18933623088144,-0.48946710478308475,0.3360584034904037,34.65378873171202,31053,0.4090736999899036,638.73046875,0.40689451899999085,1,24525,24526
residual_mlp,2,20260722,mlp_01,7.535513050458498,22756,1751,120,83.77,6.045129427674628,24.77488198315317,4.2302027975483005,18.18933623088144,-0.42904009972718216,0.36205530914816664,34.65378873171202,31053,0.4016288999991957,638.73046875,0.4117071259999818,1,24525,24526
residual_mlp,2,20260723,mlp_01,7.535513050458498,22756,1751,120,83.77,6.074364337906909,22.757439423287376,4.2302027975483005,18.18933623088144,-0.4359510946915901,0.25114183026922743,34.65378873171202,31053,0.400165800002128,638.73046875,0.395250309000005,1,24525,24526
residual_mlp,2,20260724,mlp_01,7.535513050458498,22756,1751,120,83.77,6.334076822601633,24.436958787015058,4.2302027975483005,18.18933623088144,-0.49734590177867477,0.34347721526674224,34.65378873171202,31053,0.4187110000088978,638.73046875,0.40166829899999357,1,24525,24526
residual_mlp,2,20260725,mlp_01,7.535513050458498,22756,1751,120,83.77,6.20418183619315,22.698157965541313,4.2302027975483005,18.18933623088144,-0.4666393393217243,0.24788269772070604,34.65378873171202,31053,0.39916500000458655,638.73046875,0.3988717269999995,1,24525,24526
residual_mlp,3,20260721,mlp_01,7.487497516478285,24507,1751,25,83.02,3.6151341014543017,25.43068575677616,2.2717092222885205,20.320255374470992,-0.5913718472351028,0.25149439749293556,34.39811106428327,31053,0.4108926000071733,657.2421875,0.42517161200001397,1,26276,26277
residual_mlp,3,20260722,mlp_01,7.487497516478285,24507,1751,25,83.02,3.4849001330525335,27.300981951836746,2.2717092222885205,20.320255374470992,-0.5340432212278665,0.34353537633861975,34.39811106428327,31053,0.40563759999940885,657.2421875,0.42926528000000985,1,26276,26277
residual_mlp,3,20260723,mlp_01,7.487497516478285,24507,1751,25,83.02,3.457603743816976,25.05470173947452,2.2717092222885205,20.320255374470992,-0.522027427583265,0.23299147957321287,34.39811106428327,31053,0.40679079999677015,657.2421875,0.43118827399999304,1,26276,26277
residual_mlp,3,20260724,mlp_01,7.487497516478285,24507,1751,25,83.02,3.5700771785973373,24.19694159589647,2.2717092222885205,20.320255374470992,-0.5715379167237085,0.1907794045883835,34.39811106428327,31053,0.410943600002156,657.2421875,0.4261536699999908,1,26276,26277
residual_mlp,3,20260725,mlp_01,7.487497516478285,24507,1751,25,83.02,3.6437524831222583,24.685409315286282,2.2717092222885205,20.320255374470992,-0.6039695782242505,0.21481786819959847,34.39811106428327,31053,0.3969500999914999,657.2421875,0.4284414459999937,1,26276,26277
residual_mlp,4,20260721,mlp_01,7.043432387442881,26258,1751,181,80.85199999999998,7.149240203816014,25.31120006628692,4.787898889427443,17.249634704493992,-0.49318946972811895,0.4673470192207996,33.90161506794576,31053,0.3996711999946001,659.24609375,0.46439747099998385,1,28027,28028
residual_mlp,4,20260722,mlp_01,7.043432387442881,26258,1751,181,80.85199999999998,6.940933630537094,23.983903917243175,4.787898889427443,17.249634704493992,-0.44968258328594723,0.39040068547044227,33.90161506794576,31053,0.40648810000902813,659.24609375,0.4536143690000074,1,28027,28028
residual_mlp,4,20260723,mlp_01,7.043432387442881,26258,1751,181,80.85199999999998,7.102160573642565,23.519621739597046,4.787898889427443,17.249634704493992,-0.48335642369671494,0.3634852066443792,33.90161506794576,31053,0.3986260999994329,659.24609375,0.45200309599999855,1,28027,28028
residual_mlp,4,20260724,mlp_01,7.043432387442881,26258,1751,181,80.85199999999998,7.233590067750668,23.46713258660635,4.787898889427443,17.249634704493992,-0.5108067724077796,0.36044229275722195,33.90161506794576,31053,0.40123200000721226,659.24609375,0.4546874819999971,1,28027,28028
residual_mlp,4,20260725,mlp_01,7.043432387442881,26258,1751,181,80.85199999999998,7.1735099849822905,24.111921512915202,4.787898889427443,17.249634704493992,-0.4982584533735066,0.39782215252554876,33.90161506794576,31053,0.4001616999914859,659.24609375,0.4542633819999935,1,28027,28028
