algorithm_id,seed,origin_count,mae,peak_mae,minimum_prediction,maximum_prediction
causal_tcn,20260721,7004,7.747975332393564,27.823234760156677,-2.453624897176141,106.99483721533115
causal_tcn,20260722,7004,8.249313515609542,36.661503631130834,-6.492623649733037,87.84764472144337
causal_tcn,20260723,7004,7.695052847391693,26.189746266462087,-5.224827919320774,110.8679332061423
causal_tcn,20260724,7004,7.465602875774209,28.60207552913168,-1.3011418557991448,105.61715248301653
causal_tcn,20260725,7004,8.071557200651482,33.85403297734517,1.3613813841586797,97.82227244236809
gru_sequence,20260721,7004,6.7158088993953875,24.3932794444104,-0.6195725664322183,112.24302021902902
gru_sequence,20260722,7004,6.624422757472772,23.836764822311576,-0.9235529746256503,112.74488538877598
gru_sequence,20260723,7004,6.4696824866464855,25.717617636224375,-0.9008419434117094,110.24348290072118
gru_sequence,20260724,7004,6.545078026876812,24.225915365765776,-3.2549954452105645,111.3700542481304
gru_sequence,20260725,7004,6.439308802698346,24.80917564804451,-2.71750711008492,116.56917515032791
residual_mlp,20260721,7004,6.087507394322479,24.43868504901616,-1.0493363844421815,116.14779116554884
residual_mlp,20260722,7004,5.864653684796341,24.282272738856506,-1.8174787201989098,112.9030061861152
residual_mlp,20260723,7004,5.904784489202309,23.25163901238758,-1.3192727544856773,113.94171550493584
residual_mlp,20260724,7004,6.089351681542088,23.928352628285126,-0.7789740852462046,117.41116580032812
residual_mlp,20260725,7004,6.050354303639662,23.50725728547171,-1.802281585274521,118.38262643203278
