algorithm_id,fold_id,seed_count,validation_rows_per_seed,peak_rows_per_seed,mean_mae,mae_standard_deviation,minimum_mae,maximum_mae,mean_peak_mae,peak_mae_standard_deviation,reference_mae,reference_peak_mae,relative_mae_improvement,relative_peak_mae_change,maximum_prediction_origin,maximum_target_dependency
nhits_compact,1,5,1751,184,5.831868710119748,0.10955095604136665,5.686514590539502,5.989245278659649,23.06990374142191,1.4867296948586106,4.708802095707962,17.862369874940665,-0.2385036770679857,0.29153655998283623,22774,22775
nhits_compact,2,5,1751,120,5.358184310237726,0.13778494703419134,5.257743765930664,5.6233043537542935,20.020637495422363,1.513535764485456,4.2302027975483005,18.18933623088144,-0.26664951225108396,0.10067993913003712,24525,24526
nhits_compact,3,5,1751,25,3.1795696518754766,0.19096138458661704,2.940565536603595,3.518204963440081,29.430465610351565,3.3156361975087436,2.2717092222885205,20.320255374470992,-0.3996376035628263,0.4483314834382461,26276,26277
nhits_compact,4,5,1751,181,5.849813740340864,0.1135465603769584,5.765176059716365,6.0680465824382095,20.62309975353262,0.8219404898316441,4.787898889427443,17.249634704493992,-0.2217914111048426,0.19556733269022505,28027,28028
patchtst_compact,1,5,1751,184,5.397482706877111,0.1533540036835829,5.205469080403762,5.6318355686006925,23.023696702957153,1.5106555770233046,4.708802095707962,17.862369874940665,-0.14625388733089378,0.28894972302960625,22774,22775
patchtst_compact,2,5,1751,120,4.982214194000958,0.1432740948285783,4.827621592462301,5.2099478427619,20.487327426274618,1.2710172325090787,4.2302027975483005,18.18933623088144,-0.17777194911045427,0.12633727620536805,24525,24526
patchtst_compact,3,5,1751,25,2.855916842531981,0.2606358735181568,2.5775815782269227,3.283524106481564,23.606834224853518,1.856650033359708,2.2717092222885205,20.320255374470992,-0.25716654865490657,0.1617390524782264,26276,26277
patchtst_compact,4,5,1751,181,5.597855851853664,0.205164171596614,5.271626712988609,5.857523564589766,19.021014487208582,1.0768548718662672,4.787898889427443,17.249634704493992,-0.16916751609244596,0.10269085769411092,28027,28028
tide_compact,1,5,1751,184,5.157351495926888,0.14413215276338603,5.000281434726333,5.351199764467389,20.002029396969338,0.6289716300613332,4.708802095707962,17.862369874940665,-0.09525764538453968,0.11978587035253518,22774,22775
tide_compact,2,5,1751,120,4.481782032546692,0.10762025286091885,4.3097983298527724,4.641348009572446,19.308156727091472,0.440067395020178,4.2302027975483005,18.18933623088144,-0.05947214519932701,0.06150969348241102,24525,24526
tide_compact,3,5,1751,25,2.5371361786751385,0.04552433448548673,2.4873595074447206,2.6038094212408405,24.908956530761717,2.6196957646292702,2.2717092222885205,20.320255374470992,-0.1168401984648488,0.2258190692847129,26276,26277
tide_compact,4,5,1751,181,5.396042858827461,0.1402291529922377,5.2356975458255155,5.610393848931157,19.375789417751587,0.5284957625890385,4.787898889427443,17.249634704493992,-0.12701687805958295,0.12325795587449018,28027,28028
