metric_scope,candidate_model,reference_model,candidate_mae,reference_mae,relative_mae_improvement,origin_count,peak_threshold_kwh,source_artifact,governance_gate
aggregate,hist_gradient_boosting,persistence,3.943511719476711,5.444476013706454,0.27568572080234516,7004,,outputs/modeling/locked_test_results.json,4E
peak_state,hist_gradient_boosting,persistence,14.301186239128736,18.46708278580815,0.2255849824792512,761,80.96,outputs/modeling/locked_test_results.json,4E
