configuration_id,method_id,fold_id,coverage_level,empirical_coverage,absolute_coverage_error,mean_interval_width_kwh,normalized_mean_interval_width,interval_score,peak_state_coverage,peak_state_mean_interval_width_kwh,peak_state_interval_score,origin_count,peak_origin_count
aci_2688_0p005,adaptive_absolute_conformal,1,0.8,0.816105082809823,0.016105082809822924,14.166091442622324,0.2830529285703047,34.59094053390106,0.34782608695652173,20.446500823632892,119.27647640801078,1751,184
aci_2688_0p005,adaptive_absolute_conformal,1,0.9,0.9137635636778983,0.013763563677898327,25.917400224787475,0.5178560412565558,44.73349816486694,0.6032608695652174,38.436411521980624,143.86876970818435,1751,184
aci_2688_0p005,adaptive_absolute_conformal,1,0.95,0.9583095374071959,0.008309537407195977,37.03803877440392,0.7400577206534577,55.653328175077306,0.7771739130434783,52.66130700389349,168.3644606000551,1751,184
aci_2688_0p005,adaptive_absolute_conformal,2,0.8,0.7926898914905768,0.007310108509423263,11.240475449918227,0.2251923359695127,31.60348671019731,0.26666666666666666,14.35007054533666,135.05301189373978,1751,120
aci_2688_0p005,adaptive_absolute_conformal,2,0.9,0.8937749857224443,0.006225014277555729,20.349716963166557,0.4076874078566875,41.88092245476355,0.48333333333333334,29.459310578501974,177.89002669442843,1751,120
aci_2688_0p005,adaptive_absolute_conformal,2,0.95,0.9457452884066248,0.0042547115933752044,30.262082904851056,0.6062723210427938,51.08995740379094,0.7,47.61017375829733,203.42103404517573,1751,120
aci_2688_0p005,adaptive_absolute_conformal,3,0.8,0.8115362649914335,0.011536264991433454,6.471749703678479,0.13113981162469054,18.172025185940488,0.08,8.002373424407574,171.4776947909816,1751,25
aci_2688_0p005,adaptive_absolute_conformal,3,0.9,0.9086236436322102,0.008623643632210132,12.300502678821568,0.2492503075749051,25.736472117376433,0.24,16.7012847000239,273.2536661841421,1751,25
aci_2688_0p005,adaptive_absolute_conformal,3,0.95,0.9565962307252999,0.006596230725299912,19.241914563024807,0.38990708334396773,32.410535032852195,0.48,28.913656601909757,382.6933613258186,1751,25
aci_2688_0p005,adaptive_absolute_conformal,4,0.8,0.7881210736721873,0.011878926327812733,12.562122939059636,0.26236681159272424,35.943411626765155,0.26519337016574585,14.45798519964998,125.60505011486754,1751,181
aci_2688_0p005,adaptive_absolute_conformal,4,0.9,0.8920616790405482,0.007938320959451795,23.0970083135731,0.4823936573427966,47.74987794839326,0.5138121546961326,30.59964545575174,162.06814407963907,1751,181
aci_2688_0p005,adaptive_absolute_conformal,4,0.95,0.9451741861793261,0.004825813820673819,33.786289483285536,0.705645143761185,59.49512486265955,0.7348066298342542,47.84334874905481,195.37672871229464,1751,181
aci_2688_0p01,adaptive_absolute_conformal,1,0.8,0.8115362649914335,0.011536264991433454,13.645428564815848,0.27264955421980813,34.36401838203561,0.3695652173913043,21.671243784897104,119.59038594881203,1751,184
aci_2688_0p01,adaptive_absolute_conformal,1,0.9,0.9103369503141062,0.010336950314106197,24.34815001901803,0.48650082459699345,44.26033364127956,0.5978260869565217,38.82301630449996,147.56954238960046,1751,184
aci_2688_0p01,adaptive_absolute_conformal,1,0.95,0.9577384351798972,0.007738435179897252,35.90684770357195,0.7174553714685439,54.75073140698611,0.7934782608695652,53.86889426939036,168.07063399385575,1751,184
aci_2688_0p01,adaptive_absolute_conformal,2,0.8,0.7961165048543689,0.003883495145631133,11.847602724342263,0.23735555893703822,31.29188407838299,0.2833333333333333,16.462466814827703,130.37755888628624,1751,120
aci_2688_0p01,adaptive_absolute_conformal,2,0.9,0.8960593946316391,0.003940605368360939,21.628173101353813,0.4333000721497308,40.88377873234407,0.5666666666666667,34.948072903997165,162.84021693461187,1751,120
aci_2688_0p01,adaptive_absolute_conformal,2,0.95,0.9474585950885208,0.0025414049114791393,31.246866503343202,0.6260015326724071,50.05709451393037,0.7333333333333333,54.56346382301966,188.1154605301508,1751,120
aci_2688_0p01,adaptive_absolute_conformal,3,0.8,0.8166761850371217,0.01667618503712165,6.5918379169135495,0.1335732100691702,17.427745626102833,0.08,8.447205354515033,169.80025827510207,1751,25
aci_2688_0p01,adaptive_absolute_conformal,3,0.9,0.9040548258138207,0.004054825813820662,11.712381801584032,0.237332964571105,24.450796140602765,0.24,17.033190767835304,271.4039690383718,1751,25
aci_2688_0p01,adaptive_absolute_conformal,3,0.95,0.9531696173615077,0.0031696173615077816,18.855175074163807,0.3820704169030153,32.420294334874995,0.48,28.666384510833964,383.9343735903822,1751,25
aci_2688_0p01,adaptive_absolute_conformal,4,0.8,0.7932609937178755,0.006739006282124538,12.25752817062493,0.256005183179301,35.55652718749065,0.27624309392265195,14.76628280225387,127.13918557996735,1751,181
aci_2688_0p01,adaptive_absolute_conformal,4,0.9,0.894346087949743,0.005653912050257004,23.470171090276907,0.4901873661294258,46.89323104852116,0.5303867403314917,34.87280773280887,161.83162174179594,1751,181
aci_2688_0p01,adaptive_absolute_conformal,4,0.95,0.9463163906339235,0.003683609366076479,35.14996777714838,0.7341263111350957,59.22858995711095,0.7237569060773481,52.55840451962547,201.50738994870616,1751,181
aci_2688_0p02,adaptive_absolute_conformal,1,0.8,0.80868075385494,0.008680753854939938,13.537794315692691,0.2704989123471241,33.4800866480103,0.40217391304347827,24.71514763420022,117.5676317364573,1751,184
aci_2688_0p02,adaptive_absolute_conformal,1,0.9,0.9080525414049114,0.008052541404911406,23.858844775478197,0.4767240077022468,44.11447424701953,0.625,42.98118698019863,148.8955567951969,1751,184
aci_2688_0p02,adaptive_absolute_conformal,1,0.95,0.9560251284980011,0.0060251284980011865,33.86953744570496,0.6767478384675549,56.04344082131883,0.7880434782608695,57.453479571730774,183.8078995726053,1751,184
aci_2688_0p02,adaptive_absolute_conformal,2,0.8,0.7984009137635637,0.0015990862364363423,11.724129413568756,0.23488188748009128,30.864819852180585,0.3416666666666667,18.85969820111439,126.38809849730409,1751,120
aci_2688_0p02,adaptive_absolute_conformal,2,0.9,0.8977727013135351,0.0022272986864648736,21.38301113418196,0.42838848310491756,40.90199904072317,0.6083333333333333,37.57657405694224,162.55989363671745,1751,120
aci_2688_0p02,adaptive_absolute_conformal,2,0.95,0.9486007995431183,0.0013992004568816885,31.928911267080125,0.6396656569584318,49.37699465084078,0.775,62.93424969219915,183.11874940543436,1751,120
aci_2688_0p02,adaptive_absolute_conformal,3,0.8,0.8263849229011994,0.026384922901199315,6.802858397982925,0.13784920765922848,16.463241413813655,0.2,14.345737078525557,152.3475376123926,1751,25
aci_2688_0p02,adaptive_absolute_conformal,3,0.9,0.9011993146773273,0.0011993146773272567,11.960278845852827,0.24235620761606538,23.603903862078145,0.32,20.357929674642033,251.13937695245502,1751,25
aci_2688_0p02,adaptive_absolute_conformal,3,0.95,0.952598515134209,0.0025985151342090562,17.03225262682931,0.3451317654879293,30.855435264997634,0.6,31.668513462603737,364.4223687497837,1751,25
aci_2688_0p02,adaptive_absolute_conformal,4,0.8,0.7949743003997716,0.005025699600228473,13.099389810603117,0.2735879241980601,34.19926350515524,0.3701657458563536,20.356692254409147,120.61607522396928,1751,181
aci_2688_0p02,adaptive_absolute_conformal,4,0.9,0.8966304968589377,0.0033695031410623244,24.04698623097763,0.5022344659769764,46.456869124762385,0.6077348066298343,41.97859951190255,164.56032209868135,1751,181
aci_2688_0p02,adaptive_absolute_conformal,4,0.95,0.9474585950885208,0.0025414049114791393,34.98162609113744,0.7306104029059617,57.195049691207515,0.7513812154696132,64.15167965048809,198.09472793345233,1751,181
aci_672_0p005,adaptive_absolute_conformal,1,0.8,0.817818389491719,0.01781838949171899,15.14465472252986,0.3026056191124404,34.33933412275603,0.375,23.8124986295815,114.24634708064949,1751,184
aci_672_0p005,adaptive_absolute_conformal,1,0.9,0.9137635636778983,0.013763563677898327,25.480939659950288,0.5091351148399078,44.67016886941702,0.6467391304347826,39.70416310565879,142.9453532872877,1751,184
aci_672_0p005,adaptive_absolute_conformal,1,0.95,0.9588806396344945,0.008880639634494591,36.686975046447884,0.733043109974482,55.392307385741006,0.7880434782608695,55.408847364981064,167.35638955425847,1751,184
aci_672_0p005,adaptive_absolute_conformal,2,0.8,0.7966876070816676,0.0033123929183324075,11.86493854255387,0.2377028657228062,31.357319214829253,0.3,16.087125073059678,130.88194615226453,1751,120
aci_672_0p005,adaptive_absolute_conformal,2,0.9,0.8966304968589377,0.0033695031410623244,21.13525603528148,0.42342494310891476,41.520262722149475,0.55,33.191533932164006,167.2870687603187,1751,120
aci_672_0p005,adaptive_absolute_conformal,2,0.95,0.9468874928612222,0.0031125071387777536,31.61506457358607,0.633378034129742,49.8094976728558,0.75,53.366449975781094,181.518103835571,1751,120
aci_672_0p005,adaptive_absolute_conformal,3,0.8,0.7926898914905768,0.007310108509423263,6.303437136301748,0.1277292226200962,17.87386852154247,0.08,8.348368104434126,170.1289549380989,1751,25
aci_672_0p005,adaptive_absolute_conformal,3,0.9,0.8972015990862364,0.002798400913763599,12.346196765001212,0.2501762262411593,25.26553656980076,0.24,18.665162412814773,261.4628117817894,1751,25
