configuration_id,method_id,role,window_intervals,adaptive_gamma,status,origin_count,peak_origin_count,empirical_coverage_80,empirical_coverage_90,empirical_coverage_95,absolute_coverage_error_80,absolute_coverage_error_90,absolute_coverage_error_95,mean_interval_width_kwh_at_80,mean_interval_width_kwh_at_90,mean_interval_width_kwh_at_95,peak_state_coverage_80,peak_state_coverage_90,peak_state_coverage_95,weighted_interval_score,peak_state_weighted_interval_score,maximum_outer_fold_absolute_coverage_error,maximum_outer_fold_90_absolute_coverage_error,maximum_rolling_672_absolute_coverage_error,longest_consecutive_miss_run,interval_nesting_violation_count,support_floor_activation_rate,point_prediction_parity_violation_count,chronology_violation_count,leakage_violation_count,locked_test_access_count,nonfinite_evidence_count,p95_latency_ms_per_1000_rows,wall_clock_seconds,peak_memory_mb,deterministic_replay_passed,cpu_portability_passed,hard_constraints_passed,failed_hard_constraints
aci_672_0p02,adaptive_absolute_conformal,challenger,672.0,0.02,success,7004,510,0.8036836093660765,0.9003426613363792,0.9494574528840662,0.003683609366076479,0.0003426613363791686,0.0005425471159337114,11.783132602147857,20.57205551083991,30.55898551440289,0.39019607843137255,0.6058823529411764,0.7666666666666667,2.2834847109806047,9.55071623587265,0.013249571673329519,0.007481439177612792,0.026488095238095255,11,0,0.4858652198743575,0,0,0,0,0,164.25672187320356,1.1458690000000047,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
aci_2688_0p02,adaptive_absolute_conformal,challenger,2688.0,0.02,success,7004,510,0.8071102227298687,0.9009137635636779,0.9511707595659623,0.007110222729868609,0.000913763563677894,0.0011707595659623538,11.291042984461875,20.312280246622652,29.453081857687962,0.36666666666666664,0.6,0.7627450980392156,2.2921916406314553,9.782142060462654,0.026384922901199315,0.008052541404911406,0.030059523809523814,15,0,0.4925280791928422,0,0,0,0,0,427.75958023987766,2.979331600000023,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
aci_672_0p01,adaptive_absolute_conformal,challenger,672.0,0.01,success,7004,510,0.8005425471159338,0.9007709880068532,0.9503141062250143,0.0005425471159337114,0.0007709880068531572,0.0003141062250143767,11.445250166267178,20.79191445796244,31.026908388661024,0.3137254901960784,0.5705882352941176,0.7647058823529411,2.32517532278334,9.692876448099673,0.012678469446030793,0.009765848086807472,0.036904761904761885,12,0,0.5329335617742242,0,0,0,0,0,168.38012278700162,1.1614705000000072,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
aci_2688_0p01,adaptive_absolute_conformal,challenger,2688.0,0.01,success,7004,510,0.8043974871501999,0.9011993146773273,0.9511707595659623,0.00439748715019983,0.0011993146773272567,0.0011707595659623538,11.085599344174149,20.2897190030582,30.28971426455684,0.30196078431372547,0.5490196078431373,0.7392156862745098,2.3285106259533754,9.898190755569216,0.01667618503712165,0.010336950314106197,0.05535714285714288,12,0,0.5449743003997716,0,0,0,0,0,428.9533181039294,2.9905028000000016,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
aci_672_0p005,adaptive_absolute_conformal,challenger,672.0,0.005,success,7004,510,0.8005425471159338,0.9010565391205025,0.950028555111365,0.0005425471159337114,0.0010565391205025199,2.8555111365013985e-05,11.660448652103057,20.819506925109078,31.027364280600565,0.3137254901960784,0.5705882352941176,0.7568627450980392,2.346516276571609,9.679160217521243,0.01781838949171899,0.013763563677898327,0.051785714285714324,20,0,0.5587759375594898,0,0,0,0,0,165.76011993145198,1.1506267999999977,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
aci_2688_0p005,adaptive_absolute_conformal,challenger,2688.0,0.005,success,7004,510,0.8021130782410052,0.9020559680182753,0.9514563106796117,0.0021130782410051507,0.002055968018275234,0.0014563106796117165,11.110109883819668,20.416157045087175,30.082081431391334,0.28627450980392155,0.5254901960784314,0.7294117647058823,2.3572539342354304,9.95769276484828,0.016105082809822924,0.013763563677898327,0.07172619047619044,9,0,0.5783837806967447,0,0,0,0,0,427.74959451742484,2.9840011000000004,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
rolling_672,rolling_absolute_conformal,challenger,672.0,,success,7004,510,0.7931182181610509,0.893917761279269,0.9433181039406053,0.006881781838949164,0.0060822387207309925,0.006681896059394621,10.711758392159792,19.881408322112602,29.75689330367399,0.26666666666666666,0.5196078431372549,0.7019607843137254,2.4244634295628966,10.216608328727418,0.03186750428326679,0.02564249000571106,0.06874999999999998,9,0,0.5822863125832858,0,0,0,0,0,139.75631353513037,0.966835500000002,263.5546875,True,True,False,"[""minimum_aggregate_peak_90_coverage""]"
expanding_all,expanding_absolute_conformal,reference,,,success,7004,510,0.7931182181610509,0.8977727013135351,0.9478869217589948,0.006881781838949164,0.0022272986864648736,0.0021130782410051507,10.180777394077733,19.452028013522604,29.638142136245705,0.2235294117647059,0.4568627450980392,0.6313725490196078,2.460685669163599,10.84220292932232,0.06293546544831519,0.04802969731581952,0.08660714285714288,8,0,0.6171235484485056,0,0,0,0,0,515.6208823529454,3.4360483000000386,263.5546875,True,True,False,"[""maximum_rolling_672_90_absolute_coverage_error"",""minimum_aggregate_peak_90_coverage""]"
rolling_2688,rolling_absolute_conformal,challenger,2688.0,,success,7004,510,0.7889777270131354,0.8942033123929183,0.9464591661907481,0.011022272986864645,0.005796687607081741,0.003540833809251853,10.001917866816328,19.05388540010398,29.004449556795254,0.20980392156862746,0.43333333333333335,0.6274509803921569,2.481673592246754,11.033721762902037,0.07355796687607086,0.05648201027984012,0.09494047619047619,8,0,0.6153626499143346,0,0,0,0,0,396.35661050826764,2.77031599999998,263.5546875,True,True,False,"[""maximum_outer_fold_90_absolute_coverage_error"",""maximum_rolling_672_90_absolute_coverage_error"",""minimum_aggregate_peak_90_coverage""]"
